Ts_utc,Model,Batch_size,Run_index,Temperature,Thinking_mode,Input_tokens,Output_tokens,Total_tokens,Latency_seconds,Input_token_cost,Output_token_cost,Total_cost
2026-02-16T00:00:00,gemini-3-pro,1,1,1,on,114,7,121,3.3,$0.000228,$0.000084,$0.000312
2026-02-16T00:00:00,gemini-3-pro,1,2,1,on,114,7,121,3.2,$0.000228,$0.000084,$0.000312
2026-02-16T00:00:00,gemini-3-pro,1,3,1,on,114,7,121,2.9,$0.000228,$0.000084,$0.000312
2026-02-16T00:00:00,gemini-3-pro,10,1,1,on,188,44,232,4.6,$0.000376,$0.000528,$0.000904
2026-02-16T00:00:00,gemini-3-pro,10,2,1,on,188,44,232,3.3,$0.000376,$0.000528,$0.000904
2026-02-16T00:00:00,gemini-3-pro,10,3,1,on,188,44,232,3.2,$0.000376,$0.000528,$0.000904
2026-02-16T00:00:00,gemini-3-pro,1000,1,1,on,17746,5896,23642,51.1,$0.035492,$0.070752,$0.106244
2026-02-16T00:00:00,gemini-3-pro,1000,2,1,on,17746,5896,23642,49.9,$0.035492,$0.070752,$0.106244
2026-02-16T00:00:00,gemini-3-pro,1000,3,1,on,17746,5896,23642,51.2,$0.035492,$0.070752,$0.106244
2026-02-16T00:00:00,gemini-3-pro,5000,1,1,on,94635,33896,128531,274.46,$0.18927,$0.406752,$0.596022